,start,end,duration,round_epochs,loss,accuracy,val_loss,val_accuracy,lr,hidden_layers,shapes,batch_size,epochs,optimizer,losses,activation,last_activation,dropout_rate,batch_normalization
0,06/24/22-194454,06/24/22-194651,116.97783207893372,13,0.03838273882865906,0.9910625219345093,0.21910585463047028,0.9708333611488342,0.001,"(512, 512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
1,06/24/22-194652,06/24/22-194826,94.6282229423523,15,0.007332711014896631,0.9979166388511658,0.19939933717250824,0.9692500233650208,0.0001,"(256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
2,06/24/22-194827,06/24/22-195122,174.84108114242554,13,0.048804767429828644,0.9886458516120911,0.25707003474235535,0.9710000157356262,0.001,"(512, 512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,False
3,06/24/22-195122,06/24/22-195845,443.2876513004303,18,0.06979107111692429,0.9782708287239075,5.669917106628418,0.9610833525657654,0.003,"(512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
4,06/24/22-195845,06/24/22-200002,76.5055160522461,17,0.02094435878098011,0.9928333163261414,0.11118174344301224,0.981333315372467,0.001,"(256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
5,06/24/22-200002,06/24/22-200046,44.5963819026947,12,0.016098780557513237,0.9958124756813049,0.174240380525589,0.9746666550636292,0.0003,"(256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
6,06/24/22-200047,06/24/22-200321,153.9889509677887,17,0.11866066604852676,0.9768333435058594,0.21310298144817352,0.9668333530426025,0.003,"(512, 512, 512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,False
7,06/24/22-200321,06/24/22-200644,203.20740294456482,17,0.02747778408229351,0.9906250238418579,0.13077710568904877,0.9798333048820496,0.003,"(512, 512, 512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
8,06/24/22-200644,06/24/22-200852,127.85033798217773,14,0.1620146930217743,0.9654374718666077,0.30222707986831665,0.9630833268165588,0.003,"(512, 512, 512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
9,06/24/22-200852,06/24/22-201115,142.8789188861847,14,0.006845611147582531,0.9983333349227905,0.1733551025390625,0.9760833382606506,0.0001,"(256, 256)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
10,06/24/22-201115,06/24/22-201208,52.93737602233887,14,0.03754613548517227,0.9913333058357239,0.1994439959526062,0.9710833430290222,0.001,"(256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
11,06/24/22-201208,06/24/22-201337,88.21392822265625,16,0.13299953937530518,0.9721041917800903,0.48309773206710815,0.9547500014305115,0.003,"(256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,False
12,06/24/22-201337,06/24/22-201706,209.42199993133545,12,0.5045416355133057,0.8910416960716248,1.2184131145477295,0.8883333206176758,0.003,"(512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
13,06/24/22-201707,06/24/22-201835,88.05608701705933,16,0.014942915178835392,0.9955000281333923,0.2628808319568634,0.9750833511352539,0.0003,"(256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
14,06/24/22-201835,06/24/22-202046,131.42912483215332,17,0.03335964307188988,0.9885416626930237,0.14323125779628754,0.9747499823570251,0.0001,"(256, 256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
15,06/24/22-202046,06/24/22-202714,387.94010186195374,14,0.03847101703286171,0.9931666851043701,0.3375529646873474,0.9707499742507935,0.0003,"(512, 512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
16,06/24/22-202715,06/24/22-203007,172.1473081111908,15,0.06571178883314133,0.9784374833106995,0.13899751007556915,0.9775000214576721,0.0003,"(256, 256)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
17,06/24/22-203007,06/24/22-203453,286.3466579914093,16,0.04900771751999855,0.9845208525657654,0.22155778110027313,0.9764166474342346,0.0003,"(512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
18,06/24/22-203453,06/24/22-203757,183.83533692359924,12,0.33768031001091003,0.9236041903495789,0.47272688150405884,0.9165833592414856,0.003,"(512, 512, 512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
19,06/24/22-203758,06/24/22-204427,389.6541030406952,29,0.04403672739863396,0.9855625033378601,0.16041874885559082,0.9781666398048401,0.0001,"(256, 256, 256)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
20,06/24/22-204428,06/24/22-204528,60.81359624862671,15,0.1167621985077858,0.9746458530426025,0.353097140789032,0.9585000276565552,0.003,"(256, 256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
21,06/24/22-204529,06/24/22-204731,121.94401788711548,17,0.05963338166475296,0.9893749952316284,0.2572982907295227,0.9704999923706055,0.001,"(256, 256, 256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
22,06/24/22-204731,06/24/22-204831,60.043431997299194,12,0.06771063804626465,0.9874791502952576,0.2908405065536499,0.9738333225250244,0.001,"(512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
23,06/24/22-204831,06/24/22-205310,278.37440609931946,17,0.10404539853334427,0.9686874747276306,0.36104121804237366,0.9683333039283752,0.003,"(512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
24,06/24/22-205310,06/24/22-205428,77.8183867931366,15,0.0059793065302073956,0.9985416531562805,0.17055991291999817,0.9755833148956299,0.0001,"(256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
25,06/24/22-205428,06/24/22-205640,132.56145310401917,22,0.028527090325951576,0.9901458621025085,0.13337601721286774,0.9779166579246521,0.001,"(256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
26,06/24/22-205641,06/24/22-205838,117.58007597923279,24,0.01791960559785366,0.9938958287239075,0.13099074363708496,0.9799166917800903,0.003,"(256, 256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
27,06/24/22-205838,06/24/22-205937,58.23533487319946,15,0.01459125243127346,0.9957708120346069,0.13532575964927673,0.9785000085830688,0.0003,"(256, 256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,False
28,06/24/22-205937,06/24/22-210414,276.80006313323975,12,0.13710510730743408,0.9677916765213013,0.48503661155700684,0.9602500200271606,0.001,"(512, 512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
29,06/24/22-210414,06/24/22-210642,147.37397694587708,13,0.009494008496403694,0.9971874952316284,0.20251019299030304,0.9738333225250244,0.0001,"(256, 256, 256)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
30,06/24/22-210642,06/24/22-210849,127.08079075813293,15,0.03944794088602066,0.9911249876022339,0.2365546077489853,0.971750020980835,0.001,"(512, 512, 512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
31,06/24/22-210849,06/24/22-211110,140.69627594947815,12,0.020898085087537766,0.9941874742507935,0.20846296846866608,0.9739166498184204,0.0003,"(512, 512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
32,06/24/22-211110,06/24/22-211459,229.00048184394836,14,0.3279951512813568,0.9269999861717224,0.41171517968177795,0.9051666855812073,0.003,"(512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,False
33,06/24/22-211500,06/24/22-211645,105.13543581962585,16,0.017392180860042572,0.9946041703224182,0.1782701015472412,0.9783333539962769,0.001,"(512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
34,06/24/22-211646,06/24/22-212108,262.70805382728577,13,0.0597069077193737,0.9872708320617676,0.32141250371932983,0.968666672706604,0.001,"(512, 512, 512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,False
35,06/24/22-212109,06/24/22-212741,391.65667486190796,15,0.051879677921533585,0.9829791784286499,0.15409566462039948,0.9758333563804626,0.0001,"(512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
36,06/24/22-212742,06/24/22-213213,270.8983952999115,14,0.030614957213401794,0.9905624985694885,0.13847915828227997,0.9798333048820496,0.0003,"(512, 512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
37,06/24/22-213213,06/24/22-213432,139.07461309432983,15,0.008557924069464207,0.9980624914169312,0.19969689846038818,0.971916675567627,0.0001,"(512, 512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,False
38,06/24/22-213432,06/24/22-213558,85.83297204971313,17,0.024533230811357498,0.9919166564941406,0.15052425861358643,0.9785000085830688,0.003,"(256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
39,06/24/22-213558,06/24/22-213922,203.4039762020111,13,0.05131050944328308,0.9880625009536743,0.2691411077976227,0.969083309173584,0.001,"(512, 512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
40,06/24/22-213922,06/24/22-214019,56.83427715301514,14,0.00499959010630846,0.9991666674613953,0.1929369866847992,0.971666693687439,0.0001,"(256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,False
